식품명,식품기원명,대표식품코드,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처명,식품중량,업체명,데이터생성일자,데이터기준일자
닭튀김_날개,가정식(분석 함량),12549,100g,257,54.8,17.17,16.27,1.24,10.49,0,1.2,19,0.9,183,232,269,44,44,0,0.07,0.22,0,2.92,0,75.34,3.91,0.13,식품의약품안전처,200g,해당없음,2017-12-31,2023-08-31
떡강정,가정식(분석 함량),12552,100g,249,42.3,3.79,4.72,1.33,47.89,5.34,1.3,10,0.3,53,91,446,18,13,57,0.025,0.05,0,0,0,0,0.96,0.05,식품의약품안전처,200g,해당없음,2017-12-31,2023-08-31
미역튀각,가정식(분석 함량),12556,100g,443,6.2,13.24,33.9,25.5,21.14,11.36,31.1,616,6.54,224,282,5223,99,0,1194,0,0.06,0,0,0,0,5.42,0.48,식품의약품안전처,50g,해당없음,2017-12-31,2023-08-31
탕수육_새우,가정식(분석 함량),12566,100g,116,74.6,6.65,4.2,1.5,13.02,6.44,2.1,27,0.13,130,81,492,23,17,81,0.24,0.045,0.07,0,0,53.36,0.71,0.07,식품의약품안전처,200g,해당없음,2017-12-31,2023-08-31
가지나물,가정식(분석 함량),13567,100g,36,91.8,1.42,1.5,1.12,4.18,2.34,2.7,23,0.24,45,222,274,10,0,124,0,0.06,0.66,0.8,0,0,0.22,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
고구마줄기나물,가정식(분석 함량),13568,100g,83,86.5,0.98,7,1.44,4.1,0,3.1,111,0.3,29,122,179,4,0,46,0,0.06,0.1,0.16,0,0,1.16,0.16,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
고사리나물무침,가정식(분석 함량),13569,100g,90,82.9,3.78,5.52,1.5,6.28,0.5,5.6,70,1.16,63,90,441,3,0,33,0,0.06,0.06,0,0,0,0.7,0.02,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
고춧잎나물무침,가정식(분석 함량),13570,100g,88,80.4,4.41,4.69,3.31,7.14,1.51,5.4,204,1.27,73,397,797,300,0,3600,1.189,0.178,0.2,0,0,0,0.74,0.09,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
깻잎나물,가정식(분석 함량),13571,100g,78,85.2,2.68,5.18,1.92,5.04,2.04,2.4,93,0.78,53,522,362,194,0,2332,0,0.16,2.6,2.28,0,0,0.64,0.1,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
냉이나물,가정식(분석 함량),13573,100g,111,73.5,5.02,3.07,2.68,15.7,10.45,6,136,2.98,95,298,718,120,0,1444,0.133,0.183,10.633,0,0,0,0.48,0.03,식품의약품안전처,60g,해당없음,2017-12-31,2023-08-31
도라지나물무침,가정식(분석 함량),13574,100g,130,75.4,2.48,7.52,1.48,13.12,0.9,4.9,48,0.44,53,135,411,1,0,6,0,0.04,0.16,0,0,0,1,0.04,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
돌나물무침,가정식(분석 함량),13575,100g,69,85.3,1.66,3.18,1.52,8.3,5.26,2,125,0.48,34,149,360,66,0,795,0.3,0.06,0.22,0,0,0,0.5,0.06,식품의약품안전처,50g,해당없음,2017-12-31,2023-08-31
머위대나물무침,가정식(분석 함량),13577,100g,58,86.7,3.96,2.56,2,4.76,0.34,1.5,238,1.58,76,191,363,10,2,101,0.02,0.06,0.04,2.14,0,25.22,0.32,0.02,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
무나물무침,가정식(분석 함량),13578,100g,21,93.9,0.62,0.46,1.34,3.64,3.3,1.6,25,0.06,11,188,352,0,0,0,0.14,0.02,0.06,0.24,0,0,0.04,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
방풍나물무침,가정식(분석 함량),13580,100g,76,81.1,4.39,1.73,2.08,10.74,2.91,6.7,178,0.83,76,456,267,167,0,2000,0.225,0.325,0.038,0,0,0,0.23,0,식품의약품안전처,80g,해당없음,2017-12-31,2023-08-31
배추나물,가정식(분석 함량),13581,100g,61,86.1,2.01,2.19,1.25,8.45,6.24,2.7,38,0.56,55,246,276,5,0,59,0,0.063,0,7.96,0,0,0.29,0.03,식품의약품안전처,80g,해당없음,2017-12-31,2023-08-31
비름나물무침,가정식(분석 함량),13582,100g,73,84.8,3.46,4.05,2.04,5.7,0.86,3.8,195,0.86,57,339,335,225,0,2705,0.25,0.063,0.438,0,0,0,0.63,0.1,식품의약품안전처,80g,해당없음,2017-12-31,2023-08-31
숙주나물,가정식(분석 함량),13584,100g,35,91.9,2.22,1.58,1.3,2.96,1.58,1.7,15,0.36,36,80,403,2,0,22,0.02,0.06,0,1.06,0,0,0.12,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
시금치나물,가정식(분석 함량),13586,100g,69,86.2,3.74,4.46,2.2,3.36,0.1,2,86,1.28,58,627,136,154,0,1843,0,0.2,0.9,0.26,0,0,0.4,0.12,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
시래기나물무침,가정식(분석 함량),13588,100g,114,78.7,4.32,7.28,1.96,7.74,0.54,6.7,186,3.72,63,75,514,12,0,140,0.28,0.04,0.8,0.16,0,0,0.9,0.02,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
씀바귀나물무침,가정식(분석 함량),13589,100g,97,76.6,3.87,1.73,1.24,16.57,1.28,5.2,46,1.42,92,245,204,4,0,50,0,0.1,2.567,1.42,0,0,0.36,0.08,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
열무나물,가정식(분석 함량),13590,100g,82,83.7,3.91,5.3,2.37,4.76,0.6,4,138,0.8,74,479,460,226,0,2718,0,0.1,0,3.49,0,0,0.66,0.18,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
열무나물_된장,가정식(분석 함량),13590,100g,68,86.1,3.71,4.09,2,4.09,0.73,4,128,0.81,72,388,379,140,0,1680,0,0.2,0,0.33,0,0,0.52,0.12,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
유채나물,가정식(분석 함량),13592,100g,96,77.5,5.8,4.6,4.29,7.82,1.98,4.7,161,1.01,102,453,1279,225,0,2699,0.056,0.2,0.1,3.02,0,0,0.59,0.04,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
참나물,가정식(분석 함량),13593,100g,60,88.5,2.51,3.69,1.14,4.14,0.67,3.7,88,0.64,45,153,218,21,0,247,0,0.044,0,1.07,0,0,0.58,0.01,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
취나물_된장,가정식(분석 함량),13595,100g,44,89.8,3.08,1.66,1.37,4.12,0.84,4.6,99,0.77,44,229,235,22,0,262,0,0.067,2.667,0.72,0,0,0.19,0.01,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
취나물_취나물(마른것),가정식(분석 함량),13595,100g,89,83.3,3.62,5.4,1.28,6.4,0,6.4,175,1.82,38,99,133,129,0,1551,0,0.22,0,0.5,0,0,0.56,0.02,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
콩나물무침,가정식(분석 함량),13597,100g,69,86.9,3.86,4.54,1.48,3.2,0.5,1.7,52,0.58,68,129,387,3,0,41,0.1,0.06,0.38,0.64,0,0,0.48,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
콩나물무침_고춧가루,가정식(분석 함량),13597,100g,93,83.1,3.93,5.93,1.13,5.93,1.9,5.5,37,0.81,83,253,203,13,0,153,0.156,0.089,0,0,0,0,0.83,0.01,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
토란대나물무침,가정식(분석 함량),13598,100g,68,85.6,5.14,3.38,1.61,4.22,0.39,3.4,304,2.48,98,104,222,6,0,70,0.078,0.044,0,0,0,24.41,0.46,0.02,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
호박오가리나물무침,가정식(분석 함량),13600,100g,201,56.3,6.14,10.01,6.1,21.46,6.82,7,69,1.72,133,600,1849,14,0,163,0,0.12,0,11.47,0,0,1.65,0.13,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
가죽나물무침,가정식(분석 함량),14601,100g,76,80.9,5.83,1.35,1.85,10.05,3.81,6.2,69,2.38,109,448,276,23,0,274,0.55,0.075,0,2.55,0,0,0.19,0.01,식품의약품안전처,80g,해당없음,2017-12-31,2023-08-31
겉절이_배추,가정식(분석 함량),14605,100g,55,87.6,2.28,2.14,1.38,6.58,1.3,3.5,55,0.46,56,291,328,22,0,260,0.26,0.08,1.12,0.44,0,2.9,0.42,0.06,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
겉절이_상추,가정식(분석 함량),14605,100g,61,87.1,2.36,3.41,1.88,5.26,2.98,3.4,68,0.66,55,449,431,83,0,1000,0,0.12,0.69,0.13,0,5.8,0.38,0.02,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
겉절이_열무,가정식(분석 함량),14605,100g,58,85.9,2.4,2.94,3.43,5.38,2.26,3,74,0.79,52,442,891,85,0,1025,0,0.12,0,0.54,0,0,0.46,0.08,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
겉절이_치커리,가정식(분석 함량),14605,100g,56,89.4,1.49,3.65,1.08,4.4,3.71,1.9,46,0.55,30,291,177,119,0,1426,0.19,0.08,0,0,0,0,0.42,0.11,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
골뱅이무침_소면,가정식(분석 함량),14607,100g,109,73.5,5.01,1.47,1.06,18.91,3.57,1.7,22,0.49,44,99,281,13,0,153,0,0.026,0,0,0,14.5,0.18,0,식품의약품안전처,230g,해당없음,2018-12-31,2023-08-31
굴무침,가정식(분석 함량),14609,100g,77,82.4,6.68,2.31,1.3,7.3,2.74,3.5,34,1.91,113,232,204,52,31,256,0.2,0.275,1.688,6.59,0,28.38,0.61,0.03,식품의약품안전처,80g,해당없음,2017-12-31,2023-08-31
김무침,가정식(분석 함량),14610,100g,259,41.6,21.17,10.73,7.1,19.33,5.73,17.5,241,5.03,380,1287,1011,854,0,10244,0,1.4,6.333,11.33,0,0,1.53,0.07,식품의약품안전처,30g,해당없음,2019-12-31,2023-08-31
낙지무침,가정식(분석 함량),14611,100g,77,81.2,12.41,1.24,1.18,3.96,0.14,3.8,25,0.47,77,135,340,21,0,255,0,0.044,4.411,0.89,0,136.42,0.17,0,식품의약품안전처,180g,해당없음,2017-12-31,2023-08-31
냉채_닭고기,가정식(분석 함량),14612,100g,90,79.1,13.08,1.95,0.9,5,4.8,2,17,0.42,112,201,151,32,5,325,0,0.142,0,0,0,46.32,0.5,0.01,식품의약품안전처,240g,해당없음,2017-12-31,2023-08-31
다시마무침,가정식(분석 함량),14615,100g,48,82,2.57,1.18,7.42,6.8,0,6.1,90,0.27,53,183,2759,23,3,229,0,0.044,0,0.21,0,13.03,0.28,0,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
달래무침,가정식(분석 함량),14617,100g,63,85.8,2.92,3.02,2.23,6.07,3.83,2.9,56,0.93,61,269,567,53,0,639,0.083,0.1,0.417,6.72,0,0,0.4,0.02,식품의약품안전처,60g,해당없음,2017-12-31,2023-08-31
도라지생채,가정식(분석 함량),14619,100g,77,80.1,2.06,0.51,1.13,16.15,5.25,4.6,35,0.42,48,162,283,8,0,98,0,0.05,0.106,0.66,0,0,0.13,0,식품의약품안전처,160g,해당없음,2019-12-31,2023-08-31
두릅무침_초고추장,가정식(분석 함량),14622,100g,67,85.7,2.16,3.01,1.21,7.89,4.54,3.4,60,1.08,62,289,205,73,33,483,0.144,0.089,0.322,1.7,0,0,0.42,0,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
마늘쫑무침,가정식(분석 함량),14624,100g,106,78.1,2.73,4.93,1.53,12.77,7.47,5.9,44,0.6,57,241,313,59,0,702,2,0.1,1.833,4.63,0,0,0.63,0.03,식품의약품안전처,30g,해당없음,2018-12-31,2023-08-31
무말랭이무침,가정식(분석 함량),14626,100g,121,69.1,4.2,1.55,2.7,22.5,4.1,9.1,276,12.7,87,405,450,35,0,417,0,0.1,0.1,4.7,0,1.95,1.25,0.05,식품의약품안전처,20g,해당없음,2018-12-31,2023-08-31
무생채,가정식(분석 함량),14627,100g,49,85.9,2.43,1.11,3.24,7.33,1.78,4.9,102,0.53,57,259,821,11,0,130,0.08,0.04,0.58,0.55,0,8.09,0.16,0.02,식품의약품안전처,150g,해당없음,2019-12-31,2023-08-31
무생채_굴,가정식(분석 함량),14627,100g,50,87.5,3.68,1.26,1.69,5.92,4.04,2.6,30,1.21,58,231,366,49,13,425,0.09,0.147,0.25,33.28,0,12.81,0.19,0.01,식품의약품안전처,300g,해당없음,2017-12-31,2023-08-31
묵무침_도토리묵,가정식(분석 함량),14629,100g,74,84.2,0.93,2.95,1.03,10.92,1.82,2,17,0.29,19,99,319,12,0,147,0,0.025,0.805,0.55,0,0,0.38,0.01,식품의약품안전처,200g,해당없음,2019-12-31,2023-08-31
물회_오징어,가정식(분석 함량),14630,100g,49,88,6.19,1.2,1.33,3.26,2.1,1.5,7,0.12,98,147,364,4,0,51,0.063,0.029,9.511,6.89,0,68.29,0.19,0,식품의약품안전처,700g,해당없음,2019-12-31,2023-08-31
미나리무침,가정식(분석 함량),14631,100g,46,88.3,1.31,2.13,2.8,5.41,2.24,3.1,41,0.38,56,321,765,26,0,311,0.033,0.044,0,0.48,0,0,0.3,0.01,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
미역초무침,가정식(분석 함량),14632,100g,35,90.8,1.18,1.02,1.74,5.24,1.3,3.9,79,0.32,25,170,452,10,0,118,0,0.08,0.14,0,0,0,0.16,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
민들레잎무침,가정식(분석 함량),14633,100g,81,81,2.69,2.33,1.68,12.32,8.16,5,76,1.11,62,380,248,108,0,1299,0,0.144,0,1.96,0,0,0.21,0.01,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
버섯무침_느타리버섯,가정식(분석 함량),14636,100g,59,89,2.74,3.77,1.09,3.44,0.09,4.7,8,0.36,95,117,311,0,0,2,0.073,0.08,1.34,0,0,0,0.46,0.01,식품의약품안전처,150g,해당없음,2017-12-31,2023-08-31
부추무침,가정식(분석 함량),14637,100g,92,81.5,3.5,5.92,2.87,6.25,3.06,5.6,68,0.74,60,492,666,227,0,2722,0,0.13,1.43,0.57,0,14.73,0.79,0.02,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
부추무침_양파,가정식(분석 함량),14637,100g,44,88.8,1.83,1.07,1.45,6.81,5.79,2.1,27,0.33,37,231,326,37,0,448,0.97,0.04,0,1.31,0,0,0.19,0.02,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
북어채무침,가정식(분석 함량),14638,100g,188,53,28.4,2.91,3.65,12.05,5.59,4.4,144,1.03,357,652,756,28,0,332,0,0.327,0.827,0.24,0,110.75,0.51,0.02,식품의약품안전처,150g,해당없음,2019-12-31,2023-08-31
샐러드_감자,가정식(분석 함량),14640,100g,126,77.5,1.31,7.99,0.99,12.25,3.75,1.8,8,0.27,31,241,236,4,1,34,0.02,0.013,0.053,0.66,0,4.53,1.36,0.06,식품의약품안전처,150g,해당없음,2017-12-31,2023-08-31
샐러드_단호박,가정식(분석 함량),14640,100g,162,70,1.48,8.97,0.78,18.77,14.3,2,17,0.41,39,299,70,96,2,1129,0.16,0.067,0,0.11,0,4.52,1.35,0.05,식품의약품안전처,150g,해당없음,2017-12-31,2023-08-31
샐러드_닭가슴살,가정식(분석 함량),14640,100g,135,77,7.17,9.49,0.95,5.36,3.25,3.1,41,0.47,115,255,88,13,4,108,0.08,0.113,0.507,0.12,0,10.85,1.21,0.03,식품의약품안전처,150g,해당없음,2019-12-31,2023-08-31
샐러드_새싹,가정식(분석 함량),14640,100g,74,86.6,2.77,4.81,0.82,4.96,2.26,1.5,49,0.44,63,109,156,33,3,361,0,0.11,0.89,1.59,0,12.28,0.62,0.02,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
샐러드_양배추,가정식(분석 함량),14640,100g,150,76.2,2.69,11.71,0.89,8.47,7.95,2.6,28,0.33,55,289,97,26,4,263,0.193,0.047,0.313,0.91,0,5.14,1.79,0.05,식품의약품안전처,150g,해당없음,2017-12-31,2023-08-31
샐러드_양상추,가정식(분석 함량),14640,100g,126,80.3,4.91,10.3,1.11,3.42,1.58,2.5,44,0.8,99,243,158,16,0,196,0.507,0.087,1.007,0.65,0,0,1.31,0.05,식품의약품안전처,150g,해당없음,2017-12-31,2023-08-31
샐러드_옥수수,가정식(분석 함량),14640,100g,166,71.8,1.96,11.94,1.61,12.68,6.01,2.6,15,0.54,45,176,483,25,4,252,0.056,0.038,0,0.37,0,5.82,1.88,0.09,식품의약품안전처,160g,해당없음,2017-12-31,2023-08-31
샐러드_참치,가정식(분석 함량),14640,100g,151,71.7,10.82,8.65,1.32,7.52,6.91,2.5,17,0.57,107,216,299,17,1,187,0.087,0.053,12.24,0.65,0,21.91,1.47,0.05,식품의약품안전처,150g,해당없음,2017-12-31,2023-08-31
샐러드_채소,가정식(분석 함량),14640,100g,145,79.8,1.16,13.35,0.63,5.1,4.72,1.7,23,0.18,29,219,74,38,1,436,0.075,0.044,0.106,0.8,0,7.08,2.11,0.06,식품의약품안전처,160g,해당없음,2017-12-31,2023-08-31
양장피,가정식(분석 함량),14642,100g,133,73.3,7.3,6.63,1.85,10.95,0.44,1.9,62,1.78,96,174,496,134,9,1497,0.236,0.082,0.986,2.28,0,65.89,1.21,0.03,식품의약품안전처,220g,해당없음,2018-12-31,2023-08-31
오이무침_부추,가정식(분석 함량),14644,100g,31,89.1,1.95,0.39,3.55,5.01,4.15,2.5,29,0.39,51,335,1070,29,0,351,0.5,0.08,0.42,2.1,0,0,0.08,0,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
오이생채,가정식(분석 함량),14645,100g,69,84.7,1.78,2.9,1.62,8.96,8.04,1.7,31,0.46,52,254,474,25,0,299,0.02,0.06,0.62,0.58,0,0,0.14,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
오이지무침,가정식(분석 함량),14646,100g,52,87,0.96,3.51,4.31,4.21,2.78,3.6,55,0.64,22,100,1615,3,0,33,0.21,0.02,0.24,0.18,0,0,0.41,0.01,식품의약품안전처,100g,해당없음,2019-12-31,2023-08-31
오징어무침_채소,가정식(분석 함량),14647,100g,62,84.6,5.85,0.93,0.99,7.6,5.54,2.3,16,0.73,84,212,162,18,1,208,0.146,0.046,0,1.08,0,49.17,0.14,0,식품의약품안전처,240g,해당없음,2017-12-31,2023-08-31
오징어채무침,가정식(분석 함량),14648,100g,258,37.4,23.6,5.53,5.05,28.41,18.71,6.7,35,0.61,210,156,1803,34,0,414,0.238,0.038,0,1.98,0,227.73,0.99,0.03,식품의약품안전처,80g,해당없음,2017-12-31,2023-08-31
톳나물무침,가정식(분석 함량),14653,100g,75,81.1,1.87,2.09,2.7,12.28,6.94,6.4,91,0.92,32,494,600,15,0,175,0,0.089,0.822,1.98,0,0,0.3,0.01,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
파래무침,가정식(분석 함량),14655,100g,49,86.4,3.53,1.7,3.37,4.97,1.73,3.5,50,21.97,64,509,736,208,0,2491,0,0.133,1.667,12.4,0,2.17,0.2,0.03,식품의약품안전처,30g,해당없음,2019-12-31,2023-08-31
파무침,가정식(분석 함량),14656,100g,71,84.1,2.25,2.81,1.75,9.08,8.02,3.5,47,0.57,46,255,424,31,0,370,0,0.08,0.1,0.53,0,6.25,0.31,0.01,식품의약품안전처,150g,해당없음,2019-12-31,2023-08-31
풋고추된장무침_풋고추,가정식(분석 함량),14657,100g,124,77.3,2.37,7.35,0.96,12,8.43,3.4,34,0.46,54,244,183,31,0,373,3.02,0.06,0.67,0.21,0,0,1.07,0.04,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
풋마늘무침,가정식(분석 함량),14658,100g,71,81.4,4.14,1.04,2.14,11.27,5.95,4.6,34,0.87,71,444,477,78,0,937,0.05,0.13,0,2.75,0,0,0.11,0.01,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
피조개무침,가정식(분석 함량),14659,100g,52,87,4.71,0.95,1.3,6.07,3.72,2.1,36,3.07,63,221,223,10,4,67,0.09,0.09,0.58,1.96,0,14.87,0.18,0.01,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
해초무침,가정식(분석 함량),14660,100g,39,87.9,0.95,0.16,2.45,8.52,3.95,4.3,54,0.39,16,39,862,2,0,28,0,0.02,0,0.42,0,0,0.06,0,식품의약품안전처,100g,해당없음,2017-12-31,2023-08-31
회무침,가정식(분석 함량),14662,100g,82,80.2,8.09,1.65,1.49,8.6,4.53,2.6,64,0.87,124,348,275,106,3,1233,0.172,0.12,0,0.84,0,26.4,0.52,0.03,식품의약품안전처,250g,해당없음,2017-12-31,2023-08-31
회무침_가오리,가정식(분석 함량),14662,100g,81,78.8,11.33,1.16,2.39,6.35,5.47,2.7,398,0.33,283,210,354,14,0,171,0.083,0.061,0,0,0,277.64,0.2,0,식품의약품안전처,230g,해당없음,2017-12-31,2023-08-31
고들빼기김치,가정식(분석 함량),15664,100g,71,81.8,3,1.38,2.34,11.52,4.4,5,69,2.24,42,257,605,95,0,1141,0.22,0.12,0.42,0.96,0,3.9,0.14,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
깍두기,가정식(분석 함량),15665,100g,33,90.5,1.56,1.06,2.6,4.24,2.54,2.1,45,0.28,36,283,808,9,0,104,0.1,0.06,0.46,0.54,0,3.06,0.04,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
깻잎김치,가정식(분석 함량),15666,100g,62,83.3,2.82,1.72,3.26,8.92,4.04,3.6,72,0.68,55,384,924,134,0,1613,0.08,0.14,1.38,2.84,0,0,0.08,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
나박김치,가정식(분석 함량),15667,100g,10,96.8,0.46,0.38,1.23,1.15,0.34,0.8,8,0.2,10,89,377,1,0,16,0.14,0.02,0,2.14,0,0,0.02,0,식품의약품안전처,100g,해당없음,2018-12-31,2023-08-31
동치미,가정식(분석 함량),15668,100g,14,95.9,0.29,0.37,1.15,2.28,1.45,1,7,0.43,12,87,412,0,0,2,0,0.015,0.03,1.22,0,0,0.01,0,식품의약품안전처,200g,해당없음,2019-12-31,2023-08-31
물김치_돌나물,가정식(분석 함량),15669,100g,5,98.1,0.31,0.08,0.77,0.75,0.35,0.4,21,0.12,5,45,237,17,0,201,0.145,0.023,0.005,0,0,0,0.01,0,식품의약품안전처,400g,해당없음,2017-12-31,2023-08-31
보쌈김치,가정식(분석 함량),15672,100g,30,91,2.19,0.72,2.36,3.73,1.69,2.3,38,0.58,46,261,661,10,1,110,0.033,0.078,0,0.54,0,5.98,0.04,0,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
부추김치,가정식(분석 함량),15673,100g,47,86.9,2.68,1.16,2.88,6.36,4.08,3.8,37,0.5,44,435,761,204,0,2443,0.08,0.12,1.72,0.42,0,0,0.1,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
얼갈이배추김치,가정식(분석 함량),15674,100g,63,84.8,1.59,1.45,1.23,10.94,0.38,1.7,57,0.51,26,189,246,109,0,1304,0.05,0.075,0,0.04,0,0,0.05,0,식품의약품안전처,80g,해당없음,2017-12-31,2023-08-31
오이김치,가정식(분석 함량),15678,100g,38,89.5,2.06,0.8,2.03,5.64,2.37,3.2,35,0.6,58,373,466,38,0,456,0.171,0.1,0.229,1.17,0,0,0.11,0,식품의약품안전처,70g,해당없음,2017-12-31,2023-08-31
가자미식해,가정식(분석 함량),16684,100g,134,69.3,11.09,4.81,3.16,11.64,3.71,4.1,296,1.16,241,253,685,118,8,1317,0.268,0.132,0,2.56,0,73.81,0.7,0.03,식품의약품안전처,250g,해당없음,2017-12-31,2023-08-31
갈치젓_양념,가정식(분석 함량),16685,100g,149,53.8,15.53,5.08,15.33,10.28,4.91,6.8,256,1.42,276,728,5023,488,413,897,7.311,0.178,0,0,0,112.27,1.87,0.03,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
멸치젓_양념,가정식(분석 함량),16687,100g,90,63.2,11.4,1.6,16.4,7.4,0.6,2.6,543,2.2,424,364,6667,54,32,268,0,0.2,0,2.4,0,117.6,0.8,0,식품의약품안전처,5g,해당없음,2019-12-31,2023-08-31
새우젓_양념,가정식(분석 함량),16689,100g,69,66.8,7.1,1.8,18.2,6,0.5,1.9,735,1.7,174,298,7402,37,13,291,0.3,0.1,0,8.1,0,69.8,0.3,0,식품의약품안전처,10g,해당없음,2019-12-31,2023-08-31
오징어젓_양념,가정식(분석 함량),16690,100g,60,79.7,10.1,0.7,6.1,3.4,2.4,1.6,28,0.3,123,233,2151,29,4,307,0.1,0.1,0,6.9,0,144.7,0.2,0,식품의약품안전처,10g,해당없음,2019-12-31,2023-08-31
꽃게장_간장,가정식(분석 함량),17693,100g,62,82.8,7.02,1.1,3.06,6.04,4.21,1.1,65,0.95,98,230,1089,8,7,15,0,0.112,13.544,17.11,0,48.91,0.16,0,식품의약품안전처,250g,해당없음,2019-12-31,2023-08-31
꽃게장_양념(고추가루),가정식(분석 함량),17693,100g,97,73.1,10.23,0.61,3.52,12.61,8.77,4.7,265,1.29,160,433,804,52,0,628,0,0.15,13.585,22.05,0,46.16,0.24,0.01,식품의약품안전처,200g,해당없음,2019-12-31,2023-08-31
단무지,가정식(분석 함량),17694,100g,13,95.6,0.33,0.2,1.53,2.4,0.47,1.3,11,0.1,11,49,552,0,0,0,0,0,0,3.13,0,0,0.03,0,식품의약품안전처,30g,해당없음,2019-12-31,2023-08-31
더덕장아찌,가정식(분석 함량),17695,100g,141,62,4.47,0.89,3.77,28.9,15.38,5.7,38,1.1,134,320,1167,50,0,596,0.289,0.044,0.767,2.12,0,0,0.23,0,식품의약품안전처,90g,해당없음,2017-12-31,2023-08-31
매실장아찌_우메보시(일본),가정식(분석 함량),17699,100g,65,75.7,1.27,1.77,10.27,11.03,7.87,3.4,26,1.07,14,179,3728,0,0,0,0,0,0.5,0,0,0,0.03,0,식품의약품안전처,30g,해당없음,2019-12-31,2023-08-31
무짠지,가정식(분석 함량),17701,100g,11,91,0.54,0.12,6.34,1.98,1.58,2.6,19,0.24,13,137,2382,0,0,0,0,0.02,0.04,0,0,0,0.02,0,식품의약품안전처,50g,해당없음,2017-12-31,2023-08-31
무초절임(치킨무),가정식(분석 함량),17702,100g,17,95.4,0.52,0.3,0.71,3.05,1.75,1.5,17,0.14,11,94,189,0,0,0,0,0,0,0,0,0,0.02,0,식품의약품안전처,130g,해당없음,2018-12-31,2023-08-31
오이장아찌,가정식(분석 함량),17703,100g,14,94.8,0.36,0.28,2.02,2.54,1.04,2.3,21,0.38,8,18,740,0,0,3,0.16,0,0,0.26,0,0,0.04,0,식품의약품안전처,50g,해당없음,2017-12-31,2023-08-31
오이지,가정식(분석 함량),17704,100g,21,90.1,0.74,0.72,5.62,2.84,0,2.5,22,0.3,25,163,2050,8,0,100,0.14,0.02,1.08,0.18,0,0,0.04,0,식품의약품안전처,50g,해당없음,2019-12-31,2023-08-31
미숫가루,가정식(분석 함량),20730,100g,70,84.8,2.08,2.27,0.4,10.42,0,2.2,27,0.73,63,105,24,0,0,0,0,0.053,0.32,0.25,0,0,0.36,0,식품의약품안전처,300g,해당없음,2019-12-31,2023-08-31
